"","GBS_weighted_mean","GBS_weighted_median","GBS_weighted_min","GBS_weighted_max","GBS_weighted_Std_dev","monthID","date","year","month"
"153",5.258271013228,5.36688177475657,0.490699063016719,10.0752686937351,0.818696345765203,"2010jan",2010-01-01,2010,1
"154",16.408885,16.5,13.8125,18.25,0.815365,"2010jul",2010-07-01,2010,7
"155",11.45641,11.625,8.5,13.5625,1.013835,"2010jun",2010-06-01,2010,6
"156",5.223135,5.25,3.9375,6.25,0.351055,"2010mar",2010-03-01,2010,3
"157",7.27435,7.25,5.8125,8.0625,0.366645,"2010may",2010-05-01,2010,5
"158",10.7926960440587,10.4436699994506,6.08317997033456,18.1389400098885,1.12885187221886,"2010nov",2010-11-01,2010,11
"159",13.8042789968448,13.8770659087494,11.5671482946862,15.939256022437,0.58205827565483,"2010oct",2010-10-01,2010,10
"160",16.50366,16.5625,15.4375,17.9375,0.372755,"2010sep",2010-09-01,2010,9
"161",4.750915,4.75,3.0625,6.125,0.51252,"2011apr",2011-04-01,2011,4
"162",17.397875,17.625,13.8125,19.5625,1.101695,"2011aug",2011-08-01,2011,8
"163",9.50994,9.5625,7.75,10.5,0.458,"2011dec",2011-12-01,2011,12
"164",5.59372425531915,5.36968085106383,1.40425531914894,7.67021276595745,0.945773617021276,"2011feb",2011-02-01,2011,2
"165",6.60994851923824,6.69204236300039,3.00595122425185,7.56704236300039,0.411463122813836,"2011jan",2011-01-01,2011,1
"166",15.23162,15.3125,11.8125,18.125,1.212865,"2011jul",2011-07-01,2011,7
"167",10.22349,10.1875,8.4375,12.25,0.64627,"2011jun",2011-06-01,2011,6
"168",4.21426,4.3125,2.1875,5.5,0.803185,"2011mar",2011-03-01,2011,3
"169",6.97211821199738,6.9932268805812,3.5743529589829,8.983067201453,0.609952270823874,"2011may",2011-05-01,2011,5
"170",10.409035,10.4375,8.5625,12.25,0.55731,"2011nov",2011-11-01,2011,11
"171",14.0358529871492,14.0900865460268,11.5079989509573,15.625,0.762868452661946,"2011oct",2011-10-01,2011,10
"172",17.137935,17.1875,15.5,18.8125,0.589735,"2011sep",2011-09-01,2011,9
"173",6.97494,7.0625,5.3125,8.125,0.55105,"2012apr",2012-04-01,2012,4
"174",19.613055,19.625,16.25,22.625,0.985635,"2012aug",2012-08-01,2012,8
"175",9.5429529513117,9.8702478879502,0.293699977767897,11.0047521120498,0.915564602045354,"2012dec",2012-12-01,2012,12
"176",6.80124,6.9375,4.875,7.4375,0.33691,"2012feb",2012-02-01,2012,2
"177",8.07351833159596,8.12823152298551,4.52585218388408,9.38146304597102,0.600720944438653,"2012jan",2012-01-01,2012,1
"178",17.5274,17.5625,13.75,21.1875,1.367825,"2012jul",2012-07-01,2012,7
"179",12.871875,12.6875,10.25,18.8125,1.20345,"2012jun",2012-06-01,2012,6
"180",5.79977,5.8125,4.5625,6.75,0.3854,"2012mar",2012-03-01,2012,3
"181",9.21227491207365,9.37719815885755,4.02431252212912,11.7543963177151,1.01380122978874,"2012may",2012-05-01,2012,5
"182",12.333115,12.3125,8.25,14.4375,0.471825,"2012nov",2012-11-01,2012,11
"183",16.31174,16.375,15.125,17.3125,0.419635,"2012oct",2012-10-01,2012,10
"184",18.239505,18.375,16.375,20.375,0.63502,"2012sep",2012-09-01,2012,9
"185",5.460145,5.5625,3.1875,6.9375,0.5847,"2013apr",2013-04-01,2013,4
